Pathway	Ko	Name
ko00010	K00844	Glycolysis / Gluconeogenesis
ko00010	K12407	Glycolysis / Gluconeogenesis
ko00010	K00845	Glycolysis / Gluconeogenesis
ko00010	K25026	Glycolysis / Gluconeogenesis
ko00010	K01810	Glycolysis / Gluconeogenesis
ko00010	K06859	Glycolysis / Gluconeogenesis
ko00010	K13810	Glycolysis / Gluconeogenesis
ko00010	K15916	Glycolysis / Gluconeogenesis
ko00010	K24182	Glycolysis / Gluconeogenesis
ko00010	K00850	Glycolysis / Gluconeogenesis
ko00010	K16370	Glycolysis / Gluconeogenesis
ko00010	K21071	Glycolysis / Gluconeogenesis
ko00010	K00918	Glycolysis / Gluconeogenesis
ko00010	K00895	Glycolysis / Gluconeogenesis
ko00010	K03841	Glycolysis / Gluconeogenesis
ko00010	K02446	Glycolysis / Gluconeogenesis
ko00010	K11532	Glycolysis / Gluconeogenesis
ko00010	K01086	Glycolysis / Gluconeogenesis
ko00010	K04041	Glycolysis / Gluconeogenesis
ko00010	K01623	Glycolysis / Gluconeogenesis
ko00010	K11645	Glycolysis / Gluconeogenesis
ko00010	K01624	Glycolysis / Gluconeogenesis
ko00010	K01622	Glycolysis / Gluconeogenesis
ko00010	K16305	Glycolysis / Gluconeogenesis
ko00010	K16306	Glycolysis / Gluconeogenesis
ko00010	K01803	Glycolysis / Gluconeogenesis
ko00010	K00134	Glycolysis / Gluconeogenesis
ko00010	K10705	Glycolysis / Gluconeogenesis
ko00010	K00150	Glycolysis / Gluconeogenesis
ko00010	K00927	Glycolysis / Gluconeogenesis
ko00010	K01834	Glycolysis / Gluconeogenesis
ko00010	K15634	Glycolysis / Gluconeogenesis
ko00010	K15633	Glycolysis / Gluconeogenesis
ko00010	K15635	Glycolysis / Gluconeogenesis
ko00010	K01689	Glycolysis / Gluconeogenesis
ko00010	K27394	Glycolysis / Gluconeogenesis
ko00010	K00873	Glycolysis / Gluconeogenesis
ko00010	K12406	Glycolysis / Gluconeogenesis
ko00010	K01006	Glycolysis / Gluconeogenesis
ko00010	K01007	Glycolysis / Gluconeogenesis
ko00010	K00163	Glycolysis / Gluconeogenesis
ko00010	K00161	Glycolysis / Gluconeogenesis
ko00010	K00162	Glycolysis / Gluconeogenesis
ko00010	K00627	Glycolysis / Gluconeogenesis
ko00010	K00382	Glycolysis / Gluconeogenesis
ko00010	K13997	Glycolysis / Gluconeogenesis
ko00010	K00169	Glycolysis / Gluconeogenesis
ko00010	K00170	Glycolysis / Gluconeogenesis
ko00010	K00172	Glycolysis / Gluconeogenesis
ko00010	K00189	Glycolysis / Gluconeogenesis
ko00010	K00171	Glycolysis / Gluconeogenesis
ko00010	K03737	Glycolysis / Gluconeogenesis
ko00010	K00174	Glycolysis / Gluconeogenesis
ko00010	K00175	Glycolysis / Gluconeogenesis
ko00010	K00016	Glycolysis / Gluconeogenesis
ko00010	K01568	Glycolysis / Gluconeogenesis
ko00010	K13951	Glycolysis / Gluconeogenesis
ko00010	K13980	Glycolysis / Gluconeogenesis
ko00010	K00121	Glycolysis / Gluconeogenesis
ko00010	K13952	Glycolysis / Gluconeogenesis
ko00010	K04072	Glycolysis / Gluconeogenesis
ko00010	K13953	Glycolysis / Gluconeogenesis
ko00010	K13954	Glycolysis / Gluconeogenesis
ko00010	K18857	Glycolysis / Gluconeogenesis
ko00010	K00001	Glycolysis / Gluconeogenesis
ko00010	K00002	Glycolysis / Gluconeogenesis
ko00010	K12957	Glycolysis / Gluconeogenesis
ko00010	K13979	Glycolysis / Gluconeogenesis
ko00010	K14028	Glycolysis / Gluconeogenesis
ko00010	K14029	Glycolysis / Gluconeogenesis
ko00010	K00114	Glycolysis / Gluconeogenesis
ko00010	K04022	Glycolysis / Gluconeogenesis
ko00010	K22473	Glycolysis / Gluconeogenesis
ko00010	K22474	Glycolysis / Gluconeogenesis
ko00010	K00128	Glycolysis / Gluconeogenesis
ko00010	K14085	Glycolysis / Gluconeogenesis
ko00010	K00149	Glycolysis / Gluconeogenesis
ko00010	K00129	Glycolysis / Gluconeogenesis
ko00010	K00138	Glycolysis / Gluconeogenesis
ko00010	K01895	Glycolysis / Gluconeogenesis
ko00010	K01913	Glycolysis / Gluconeogenesis
ko00010	K01905	Glycolysis / Gluconeogenesis
ko00010	K22224	Glycolysis / Gluconeogenesis
ko00010	K24012	Glycolysis / Gluconeogenesis
ko00010	K01785	Glycolysis / Gluconeogenesis
ko00010	K01085	Glycolysis / Gluconeogenesis
ko00010	K20866	Glycolysis / Gluconeogenesis
ko00010	K01835	Glycolysis / Gluconeogenesis
ko00010	K15778	Glycolysis / Gluconeogenesis
ko00010	K15779	Glycolysis / Gluconeogenesis
ko00010	K01084	Glycolysis / Gluconeogenesis
ko00010	K00886	Glycolysis / Gluconeogenesis
ko00010	K08074	Glycolysis / Gluconeogenesis
ko00010	K01792	Glycolysis / Gluconeogenesis
ko00010	K01837	Glycolysis / Gluconeogenesis
ko00010	K03103	Glycolysis / Gluconeogenesis
ko00010	K11389	Glycolysis / Gluconeogenesis
ko00010	K00131	Glycolysis / Gluconeogenesis
ko00010	K18978	Glycolysis / Gluconeogenesis
ko00010	K01596	Glycolysis / Gluconeogenesis
ko00010	K01610	Glycolysis / Gluconeogenesis
ko00010	K01222	Glycolysis / Gluconeogenesis
ko00010	K01223	Glycolysis / Gluconeogenesis
ko00010	K02777	Glycolysis / Gluconeogenesis
ko00010	K02779	Glycolysis / Gluconeogenesis
ko00010	K02791	Glycolysis / Gluconeogenesis
ko00010	K20118	Glycolysis / Gluconeogenesis
ko00010	K02753	Glycolysis / Gluconeogenesis
ko00020	K01647	Citrate cycle (TCA cycle)
ko00020	K01648	Citrate cycle (TCA cycle)
ko00020	K15230	Citrate cycle (TCA cycle)
ko00020	K15231	Citrate cycle (TCA cycle)
ko00020	K05942	Citrate cycle (TCA cycle)
ko00020	K01659	Citrate cycle (TCA cycle)
ko00020	K01681	Citrate cycle (TCA cycle)
ko00020	K27802	Citrate cycle (TCA cycle)
ko00020	K01682	Citrate cycle (TCA cycle)
ko00020	K00031	Citrate cycle (TCA cycle)
ko00020	K00030	Citrate cycle (TCA cycle)
ko00020	K17753	Citrate cycle (TCA cycle)
ko00020	K00164	Citrate cycle (TCA cycle)
ko00020	K00658	Citrate cycle (TCA cycle)
ko00020	K01616	Citrate cycle (TCA cycle)
ko00020	K00382	Citrate cycle (TCA cycle)
ko00020	K00174	Citrate cycle (TCA cycle)
ko00020	K00175	Citrate cycle (TCA cycle)
ko00020	K00177	Citrate cycle (TCA cycle)
ko00020	K00176	Citrate cycle (TCA cycle)
ko00020	K01902	Citrate cycle (TCA cycle)
ko00020	K01903	Citrate cycle (TCA cycle)
ko00020	K01899	Citrate cycle (TCA cycle)
ko00020	K01900	Citrate cycle (TCA cycle)
ko00020	K18118	Citrate cycle (TCA cycle)
ko00020	K00234	Citrate cycle (TCA cycle)
ko00020	K00235	Citrate cycle (TCA cycle)
ko00020	K00236	Citrate cycle (TCA cycle)
ko00020	K00237	Citrate cycle (TCA cycle)
ko00020	K25801	Citrate cycle (TCA cycle)
ko00020	K00239	Citrate cycle (TCA cycle)
ko00020	K00240	Citrate cycle (TCA cycle)
ko00020	K00241	Citrate cycle (TCA cycle)
ko00020	K00242	Citrate cycle (TCA cycle)
ko00020	K18859	Citrate cycle (TCA cycle)
ko00020	K18860	Citrate cycle (TCA cycle)
ko00020	K00244	Citrate cycle (TCA cycle)
ko00020	K00245	Citrate cycle (TCA cycle)
ko00020	K00246	Citrate cycle (TCA cycle)
ko00020	K00247	Citrate cycle (TCA cycle)
ko00020	K00233	Citrate cycle (TCA cycle)
ko00020	K25995	Citrate cycle (TCA cycle)
ko00020	K25996	Citrate cycle (TCA cycle)
ko00020	K26318	Citrate cycle (TCA cycle)
ko00020	K01676	Citrate cycle (TCA cycle)
ko00020	K01677	Citrate cycle (TCA cycle)
ko00020	K01678	Citrate cycle (TCA cycle)
ko00020	K01679	Citrate cycle (TCA cycle)
ko00020	K01675	Citrate cycle (TCA cycle)
ko00020	K01774	Citrate cycle (TCA cycle)
ko00020	K00025	Citrate cycle (TCA cycle)
ko00020	K00026	Citrate cycle (TCA cycle)
ko00020	K00024	Citrate cycle (TCA cycle)
ko00020	K00116	Citrate cycle (TCA cycle)
ko00020	K01958	Citrate cycle (TCA cycle)
ko00020	K01959	Citrate cycle (TCA cycle)
ko00020	K01960	Citrate cycle (TCA cycle)
ko00020	K01610	Citrate cycle (TCA cycle)
ko00020	K01596	Citrate cycle (TCA cycle)
ko00020	K00163	Citrate cycle (TCA cycle)
ko00020	K00161	Citrate cycle (TCA cycle)
ko00020	K00162	Citrate cycle (TCA cycle)
ko00020	K00627	Citrate cycle (TCA cycle)
ko00020	K13997	Citrate cycle (TCA cycle)
ko00020	K00169	Citrate cycle (TCA cycle)
ko00020	K00170	Citrate cycle (TCA cycle)
ko00020	K00172	Citrate cycle (TCA cycle)
ko00020	K00189	Citrate cycle (TCA cycle)
ko00020	K00171	Citrate cycle (TCA cycle)
ko00020	K03737	Citrate cycle (TCA cycle)
ko00030	K01810	Pentose phosphate pathway
ko00030	K06859	Pentose phosphate pathway
ko00030	K13810	Pentose phosphate pathway
ko00030	K15916	Pentose phosphate pathway
ko00030	K00036	Pentose phosphate pathway
ko00030	K19243	Pentose phosphate pathway
ko00030	K01057	Pentose phosphate pathway
ko00030	K07404	Pentose phosphate pathway
ko00030	K13937	Pentose phosphate pathway
ko00030	K00033	Pentose phosphate pathway
ko00030	K01783	Pentose phosphate pathway
ko00030	K00615	Pentose phosphate pathway
ko00030	K00616	Pentose phosphate pathway
ko00030	K01807	Pentose phosphate pathway
ko00030	K01808	Pentose phosphate pathway
ko00030	K13812	Pentose phosphate pathway
ko00030	K08093	Pentose phosphate pathway
ko00030	K08094	Pentose phosphate pathway
ko00030	K13831	Pentose phosphate pathway
ko00030	K11214	Pentose phosphate pathway
ko00030	K01621	Pentose phosphate pathway
ko00030	K01619	Pentose phosphate pathway
ko00030	K00852	Pentose phosphate pathway
ko00030	K01839	Pentose phosphate pathway
ko00030	K22199	Pentose phosphate pathway
ko00030	K01835	Pentose phosphate pathway
ko00030	K15778	Pentose phosphate pathway
ko00030	K15779	Pentose phosphate pathway
ko00030	K21056	Pentose phosphate pathway
ko00030	K26208	Pentose phosphate pathway
ko00030	K18237	Pentose phosphate pathway
ko00030	K05774	Pentose phosphate pathway
ko00030	K00948	Pentose phosphate pathway
ko00030	K01690	Pentose phosphate pathway
ko00030	K01625	Pentose phosphate pathway
ko00030	K17463	Pentose phosphate pathway
ko00030	K11395	Pentose phosphate pathway
ko00030	K00131	Pentose phosphate pathway
ko00030	K18978	Pentose phosphate pathway
ko00030	K00034	Pentose phosphate pathway
ko00030	K22969	Pentose phosphate pathway
ko00030	K21840	Pentose phosphate pathway
ko00030	K18124	Pentose phosphate pathway
ko00030	K18125	Pentose phosphate pathway
ko00030	K00115	Pentose phosphate pathway
ko00030	K19813	Pentose phosphate pathway
ko00030	K00117	Pentose phosphate pathway
ko00030	K01053	Pentose phosphate pathway
ko00030	K06151	Pentose phosphate pathway
ko00030	K06152	Pentose phosphate pathway
ko00030	K00090	Pentose phosphate pathway
ko00030	K22229	Pentose phosphate pathway
ko00030	K11441	Pentose phosphate pathway
ko00030	K00032	Pentose phosphate pathway
ko00030	K00851	Pentose phosphate pathway
ko00030	K25031	Pentose phosphate pathway
ko00030	K05308	Pentose phosphate pathway
ko00030	K00874	Pentose phosphate pathway
ko00030	K18126	Pentose phosphate pathway
ko00030	K18127	Pentose phosphate pathway
ko00030	K03738	Pentose phosphate pathway
ko00030	K18020	Pentose phosphate pathway
ko00030	K18021	Pentose phosphate pathway
ko00030	K18022	Pentose phosphate pathway
ko00030	K18128	Pentose phosphate pathway
ko00030	K11529	Pentose phosphate pathway
ko00030	K22345	Pentose phosphate pathway
ko00030	K17464	Pentose phosphate pathway
ko00030	K17465	Pentose phosphate pathway
ko00030	K17466	Pentose phosphate pathway
ko00030	K17467	Pentose phosphate pathway
ko00030	K17468	Pentose phosphate pathway
ko00030	K01623	Pentose phosphate pathway
ko00030	K11645	Pentose phosphate pathway
ko00030	K01624	Pentose phosphate pathway
ko00030	K01622	Pentose phosphate pathway
ko00030	K16305	Pentose phosphate pathway
ko00030	K16306	Pentose phosphate pathway
ko00030	K03841	Pentose phosphate pathway
ko00030	K02446	Pentose phosphate pathway
ko00030	K11532	Pentose phosphate pathway
ko00030	K01086	Pentose phosphate pathway
ko00030	K04041	Pentose phosphate pathway
ko00030	K24182	Pentose phosphate pathway
ko00030	K00850	Pentose phosphate pathway
ko00030	K16370	Pentose phosphate pathway
ko00030	K21071	Pentose phosphate pathway
ko00030	K00918	Pentose phosphate pathway
ko00030	K00895	Pentose phosphate pathway
ko00040	K01051	Pentose and glucuronate interconversions
ko00040	K22539	Pentose and glucuronate interconversions
ko00040	K01728	Pentose and glucuronate interconversions
ko00040	K19551	Pentose and glucuronate interconversions
ko00040	K01731	Pentose and glucuronate interconversions
ko00040	K22994	Pentose and glucuronate interconversions
ko00040	K01730	Pentose and glucuronate interconversions
ko00040	K26933	Pentose and glucuronate interconversions
ko00040	K01815	Pentose and glucuronate interconversions
ko00040	K00065	Pentose and glucuronate interconversions
ko00040	K01184	Pentose and glucuronate interconversions
ko00040	K01213	Pentose and glucuronate interconversions
ko00040	K22933	Pentose and glucuronate interconversions
ko00040	K01812	Pentose and glucuronate interconversions
ko00040	K00041	Pentose and glucuronate interconversions
ko00040	K01685	Pentose and glucuronate interconversions
ko00040	K16849	Pentose and glucuronate interconversions
ko00040	K16850	Pentose and glucuronate interconversions
ko00040	K01686	Pentose and glucuronate interconversions
ko00040	K08323	Pentose and glucuronate interconversions
ko00040	K00040	Pentose and glucuronate interconversions
ko00040	K21619	Pentose and glucuronate interconversions
ko00040	K08322	Pentose and glucuronate interconversions
ko00040	K18106	Pentose and glucuronate interconversions
ko00040	K19634	Pentose and glucuronate interconversions
ko00040	K18102	Pentose and glucuronate interconversions
ko00040	K18103	Pentose and glucuronate interconversions
ko00040	K18107	Pentose and glucuronate interconversions
ko00040	K01195	Pentose and glucuronate interconversions
ko00040	K14756	Pentose and glucuronate interconversions
ko00040	K00699	Pentose and glucuronate interconversions
ko00040	K16190	Pentose and glucuronate interconversions
ko00040	K12447	Pentose and glucuronate interconversions
ko00040	K00012	Pentose and glucuronate interconversions
ko00040	K00963	Pentose and glucuronate interconversions
ko00040	K00002	Pentose and glucuronate interconversions
ko00040	K13247	Pentose and glucuronate interconversions
ko00040	K08092	Pentose and glucuronate interconversions
ko00040	K00880	Pentose and glucuronate interconversions
ko00040	K03078	Pentose and glucuronate interconversions
ko00040	K03079	Pentose and glucuronate interconversions
ko00040	K03077	Pentose and glucuronate interconversions
ko00040	K01783	Pentose and glucuronate interconversions
ko00040	K01804	Pentose and glucuronate interconversions
ko00040	K00853	Pentose and glucuronate interconversions
ko00040	K24707	Pentose and glucuronate interconversions
ko00040	K00854	Pentose and glucuronate interconversions
ko00040	K01805	Pentose and glucuronate interconversions
ko00040	K00011	Pentose and glucuronate interconversions
ko00040	K00594	Pentose and glucuronate interconversions
ko00040	K17743	Pentose and glucuronate interconversions
ko00040	K26066	Pentose and glucuronate interconversions
ko00040	K03331	Pentose and glucuronate interconversions
ko00040	K25879	Pentose and glucuronate interconversions
ko00040	K25880	Pentose and glucuronate interconversions
ko00040	K25881	Pentose and glucuronate interconversions
ko00040	K01820	Pentose and glucuronate interconversions
ko00040	K00848	Pentose and glucuronate interconversions
ko00040	K01629	Pentose and glucuronate interconversions
ko00040	K17738	Pentose and glucuronate interconversions
ko00040	K17818	Pentose and glucuronate interconversions
ko00040	K00007	Pentose and glucuronate interconversions
ko00040	K09988	Pentose and glucuronate interconversions
ko00040	K05351	Pentose and glucuronate interconversions
ko00040	K00008	Pentose and glucuronate interconversions
ko00040	K22185	Pentose and glucuronate interconversions
ko00040	K00078	Pentose and glucuronate interconversions
ko00040	K14273	Pentose and glucuronate interconversions
ko00040	K14274	Pentose and glucuronate interconversions
ko00040	K24442	Pentose and glucuronate interconversions
ko00040	K24443	Pentose and glucuronate interconversions
ko00040	K14275	Pentose and glucuronate interconversions
ko00040	K22186	Pentose and glucuronate interconversions
ko00040	K22396	Pentose and glucuronate interconversions
ko00040	K22397	Pentose and glucuronate interconversions
ko00040	K14259	Pentose and glucuronate interconversions
ko00040	K13877	Pentose and glucuronate interconversions
ko00040	K19588	Pentose and glucuronate interconversions
ko00040	K22187	Pentose and glucuronate interconversions
ko00040	K00875	Pentose and glucuronate interconversions
ko00040	K22935	Pentose and glucuronate interconversions
ko00040	K00039	Pentose and glucuronate interconversions
ko00040	K21680	Pentose and glucuronate interconversions
ko00040	K05352	Pentose and glucuronate interconversions
ko00040	K21681	Pentose and glucuronate interconversions
ko00040	K21030	Pentose and glucuronate interconversions
ko00040	K21031	Pentose and glucuronate interconversions
ko00040	K01818	Pentose and glucuronate interconversions
ko00040	K00879	Pentose and glucuronate interconversions
ko00040	K01628	Pentose and glucuronate interconversions
ko00051	K01218	Fructose and mannose metabolism
ko00051	K19355	Fructose and mannose metabolism
ko00051	K00847	Fructose and mannose metabolism
ko00051	K01809	Fructose and mannose metabolism
ko00051	K15916	Fructose and mannose metabolism
ko00051	K16011	Fructose and mannose metabolism
ko00051	K17497	Fructose and mannose metabolism
ko00051	K01840	Fructose and mannose metabolism
ko00051	K15778	Fructose and mannose metabolism
ko00051	K16881	Fructose and mannose metabolism
ko00051	K00971	Fructose and mannose metabolism
ko00051	K00966	Fructose and mannose metabolism
ko00051	K01711	Fructose and mannose metabolism
ko00051	K02377	Fructose and mannose metabolism
ko00051	K00976	Fructose and mannose metabolism
ko00051	K18447	Fructose and mannose metabolism
ko00051	K05305	Fructose and mannose metabolism
ko00051	K01818	Fructose and mannose metabolism
ko00051	K00879	Fructose and mannose metabolism
ko00051	K01628	Fructose and mannose metabolism
ko00051	K00064	Fructose and mannose metabolism
ko00051	K18333	Fructose and mannose metabolism
ko00051	K07046	Fructose and mannose metabolism
ko00051	K18334	Fructose and mannose metabolism
ko00051	K18335	Fructose and mannose metabolism
ko00051	K18336	Fructose and mannose metabolism
ko00051	K26911	Fructose and mannose metabolism
ko00051	K18337	Fructose and mannose metabolism
ko00051	K18338	Fructose and mannose metabolism
ko00051	K12661	Fructose and mannose metabolism
ko00051	K18339	Fructose and mannose metabolism
ko00051	K12660	Fructose and mannose metabolism
ko00051	K01813	Fructose and mannose metabolism
ko00051	K21883	Fructose and mannose metabolism
ko00051	K01820	Fructose and mannose metabolism
ko00051	K00848	Fructose and mannose metabolism
ko00051	K01629	Fructose and mannose metabolism
ko00051	K05947	Fructose and mannose metabolism
ko00051	K07026	Fructose and mannose metabolism
ko00051	K18818	Fructose and mannose metabolism
ko00051	K00844	Fructose and mannose metabolism
ko00051	K24182	Fructose and mannose metabolism
ko00051	K00850	Fructose and mannose metabolism
ko00051	K16370	Fructose and mannose metabolism
ko00051	K21071	Fructose and mannose metabolism
ko00051	K00895	Fructose and mannose metabolism
ko00051	K03841	Fructose and mannose metabolism
ko00051	K02446	Fructose and mannose metabolism
ko00051	K11532	Fructose and mannose metabolism
ko00051	K01086	Fructose and mannose metabolism
ko00051	K04041	Fructose and mannose metabolism
ko00051	K19028	Fructose and mannose metabolism
ko00051	K19029	Fructose and mannose metabolism
ko00051	K01103	Fructose and mannose metabolism
ko00051	K19030	Fructose and mannose metabolism
ko00051	K00900	Fructose and mannose metabolism
ko00051	K14634	Fructose and mannose metabolism
ko00051	K00009	Fructose and mannose metabolism
ko00051	K00068	Fructose and mannose metabolism
ko00051	K19956	Fructose and mannose metabolism
ko00051	K00846	Fructose and mannose metabolism
ko00051	K27475	Fructose and mannose metabolism
ko00051	K00882	Fructose and mannose metabolism
ko00051	K00008	Fructose and mannose metabolism
ko00051	K00011	Fructose and mannose metabolism
ko00051	K00594	Fructose and mannose metabolism
ko00051	K01805	Fructose and mannose metabolism
ko00051	K08261	Fructose and mannose metabolism
ko00051	K17742	Fructose and mannose metabolism
ko00051	K19633	Fructose and mannose metabolism
ko00051	K00045	Fructose and mannose metabolism
ko00051	K00007	Fructose and mannose metabolism
ko00051	K00066	Fructose and mannose metabolism
ko00051	K19290	Fructose and mannose metabolism
ko00051	K19291	Fructose and mannose metabolism
ko00051	K01795	Fructose and mannose metabolism
ko00051	K01729	Fructose and mannose metabolism
ko00051	K01623	Fructose and mannose metabolism
ko00051	K11645	Fructose and mannose metabolism
ko00051	K01624	Fructose and mannose metabolism
ko00051	K01622	Fructose and mannose metabolism
ko00051	K16305	Fructose and mannose metabolism
ko00051	K16306	Fructose and mannose metabolism
ko00051	K01803	Fructose and mannose metabolism
ko00051	K00863	Fructose and mannose metabolism
ko00051	K03332	Fructose and mannose metabolism
ko00051	K22252	Fructose and mannose metabolism
ko00051	K15856	Fructose and mannose metabolism
ko00051	K00881	Fructose and mannose metabolism
ko00051	K01808	Fructose and mannose metabolism
ko00051	K17195	Fructose and mannose metabolism
ko00051	K02768	Fructose and mannose metabolism
ko00051	K02769	Fructose and mannose metabolism
ko00051	K02770	Fructose and mannose metabolism
ko00051	K11194	Fructose and mannose metabolism
ko00051	K11195	Fructose and mannose metabolism
ko00051	K11196	Fructose and mannose metabolism
ko00051	K02771	Fructose and mannose metabolism
ko00051	K02793	Fructose and mannose metabolism
ko00051	K02794	Fructose and mannose metabolism
ko00051	K02795	Fructose and mannose metabolism
ko00051	K02796	Fructose and mannose metabolism
ko00051	K25814	Fructose and mannose metabolism
ko00051	K02798	Fructose and mannose metabolism
ko00051	K02800	Fructose and mannose metabolism
ko00051	K19270	Fructose and mannose metabolism
ko00051	K24204	Fructose and mannose metabolism
ko00051	K02781	Fructose and mannose metabolism
ko00051	K02782	Fructose and mannose metabolism
ko00051	K02783	Fructose and mannose metabolism
ko00051	K02812	Fructose and mannose metabolism
ko00051	K02813	Fructose and mannose metabolism
ko00051	K02814	Fructose and mannose metabolism
ko00051	K02815	Fructose and mannose metabolism
ko00052	K01785	Galactose metabolism
ko00052	K00849	Galactose metabolism
ko00052	K00965	Galactose metabolism
ko00052	K01784	Galactose metabolism
ko00052	K17716	Galactose metabolism
ko00052	K00963	Galactose metabolism
ko00052	K01835	Galactose metabolism
ko00052	K15778	Galactose metabolism
ko00052	K15779	Galactose metabolism
ko00052	K00844	Galactose metabolism
ko00052	K12407	Galactose metabolism
ko00052	K00845	Galactose metabolism
ko00052	K25026	Galactose metabolism
ko00052	K01084	Galactose metabolism
ko00052	K01190	Galactose metabolism
ko00052	K12111	Galactose metabolism
ko00052	K12112	Galactose metabolism
ko00052	K12308	Galactose metabolism
ko00052	K12309	Galactose metabolism
ko00052	K01229	Galactose metabolism
ko00052	K00704	Galactose metabolism
ko00052	K07966	Galactose metabolism
ko00052	K07967	Galactose metabolism
ko00052	K12447	Galactose metabolism
ko00052	K01854	Galactose metabolism
ko00052	K18819	Galactose metabolism
ko00052	K06617	Galactose metabolism
ko00052	K01189	Galactose metabolism
ko00052	K07406	Galactose metabolism
ko00052	K07407	Galactose metabolism
ko00052	K00011	Galactose metabolism
ko00052	K02773	Galactose metabolism
ko00052	K02774	Galactose metabolism
ko00052	K02775	Galactose metabolism
ko00052	K00094	Galactose metabolism
ko00052	K21620	Galactose metabolism
ko00052	K21621	Galactose metabolism
ko00052	K21622	Galactose metabolism
ko00052	K00917	Galactose metabolism
ko00052	K00850	Galactose metabolism
ko00052	K16370	Galactose metabolism
ko00052	K21071	Galactose metabolism
ko00052	K01635	Galactose metabolism
ko00052	K08302	Galactose metabolism
ko00052	K16371	Galactose metabolism
ko00052	K00035	Galactose metabolism
ko00052	K22215	Galactose metabolism
ko00052	K18124	Galactose metabolism
ko00052	K18125	Galactose metabolism
ko00052	K04618	Galactose metabolism
ko00052	K01684	Galactose metabolism
ko00052	K05308	Galactose metabolism
ko00052	K11395	Galactose metabolism
ko00052	K18127	Galactose metabolism
ko00052	K00883	Galactose metabolism
ko00052	K18126	Galactose metabolism
ko00052	K01631	Galactose metabolism
ko00052	K01819	Galactose metabolism
ko00052	K01220	Galactose metabolism
ko00052	K02786	Galactose metabolism
ko00052	K02788	Galactose metabolism
ko00052	K01193	Galactose metabolism
ko00052	K06611	Galactose metabolism
ko00052	K12047	Galactose metabolism
ko00052	K01187	Galactose metabolism
ko00052	K12316	Galactose metabolism
ko00052	K12317	Galactose metabolism
ko00052	K01182	Galactose metabolism
ko00052	K01203	Galactose metabolism
ko00052	K02744	Galactose metabolism
ko00052	K02745	Galactose metabolism
ko00052	K02746	Galactose metabolism
ko00052	K02747	Galactose metabolism
ko00052	K02079	Galactose metabolism
ko00052	K02082	Galactose metabolism
ko00052	K10984	Galactose metabolism
ko00052	K10985	Galactose metabolism
ko00052	K10986	Galactose metabolism
ko00053	K00012	Ascorbate and aldarate metabolism
ko00053	K12447	Ascorbate and aldarate metabolism
ko00053	K16190	Ascorbate and aldarate metabolism
ko00053	K00699	Ascorbate and aldarate metabolism
ko00053	K01195	Ascorbate and aldarate metabolism
ko00053	K14756	Ascorbate and aldarate metabolism
ko00053	K00469	Ascorbate and aldarate metabolism
ko00053	K00002	Ascorbate and aldarate metabolism
ko00053	K01053	Ascorbate and aldarate metabolism
ko00053	K00103	Ascorbate and aldarate metabolism
ko00053	K10046	Ascorbate and aldarate metabolism
ko00053	K14190	Ascorbate and aldarate metabolism
ko00053	K10047	Ascorbate and aldarate metabolism
ko00053	K18649	Ascorbate and aldarate metabolism
ko00053	K00064	Ascorbate and aldarate metabolism
ko00053	K17744	Ascorbate and aldarate metabolism
ko00053	K00225	Ascorbate and aldarate metabolism
ko00053	K08679	Ascorbate and aldarate metabolism
ko00053	K19642	Ascorbate and aldarate metabolism
ko00053	K23003	Ascorbate and aldarate metabolism
ko00053	K23004	Ascorbate and aldarate metabolism
ko00053	K23005	Ascorbate and aldarate metabolism
ko00053	K23007	Ascorbate and aldarate metabolism
ko00053	K02821	Ascorbate and aldarate metabolism
ko00053	K02822	Ascorbate and aldarate metabolism
ko00053	K03475	Ascorbate and aldarate metabolism
ko00053	K03476	Ascorbate and aldarate metabolism
ko00053	K03078	Ascorbate and aldarate metabolism
ko00053	K03079	Ascorbate and aldarate metabolism
ko00053	K03077	Ascorbate and aldarate metabolism
ko00053	K08232	Ascorbate and aldarate metabolism
ko00053	K00434	Ascorbate and aldarate metabolism
ko00053	K21888	Ascorbate and aldarate metabolism
ko00053	K00423	Ascorbate and aldarate metabolism
ko00053	K08092	Ascorbate and aldarate metabolism
ko00053	K00880	Ascorbate and aldarate metabolism
ko00053	K00128	Ascorbate and aldarate metabolism
ko00053	K14085	Ascorbate and aldarate metabolism
ko00053	K00149	Ascorbate and aldarate metabolism
ko00053	K01706	Ascorbate and aldarate metabolism
ko00053	K01630	Ascorbate and aldarate metabolism
ko00053	K00062	Ascorbate and aldarate metabolism
ko00053	K00063	Ascorbate and aldarate metabolism
ko00053	K00107	Ascorbate and aldarate metabolism
ko00053	K19590	Ascorbate and aldarate metabolism
ko00053	K01683	Ascorbate and aldarate metabolism
ko00053	K14259	Ascorbate and aldarate metabolism
ko00053	K13873	Ascorbate and aldarate metabolism
ko00053	K19660	Ascorbate and aldarate metabolism
ko00053	K13874	Ascorbate and aldarate metabolism
ko00053	K24443	Ascorbate and aldarate metabolism
ko00053	K13875	Ascorbate and aldarate metabolism
ko00053	K13876	Ascorbate and aldarate metabolism
ko00053	K25260	Ascorbate and aldarate metabolism
ko00053	K13877	Ascorbate and aldarate metabolism
ko00053	K19588	Ascorbate and aldarate metabolism
ko00053	K01707	Ascorbate and aldarate metabolism
ko00053	K01708	Ascorbate and aldarate metabolism
ko00053	K20023	Ascorbate and aldarate metabolism
